slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,28751,Kelvin Gastelum,Nassourdine Imavov,2.6,2.8,1.52632,1.44444,4,4,1671770423000,1673292984000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29671,Daniel Argueta,Isaac Dulgarian,1.44444,1.57143,2.8,2.45,5,5,1672881024000,1673372664000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29768,Mateusz Rrbecki,Nick Fiore.,1.22222,1.12034,4.5,6.67,70,70,1672707607000,1673736029000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29668,Allan Nascimento,Carlos Hernandez,1.52632,1.28329,2.65,3.82,110,110,1672672807000,1673734230000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29801,Dan Arguetta,Nick Aguirre,1.28571,1.18484,3.85,5.02,38,38,1673385253000,1673732549000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29484,Charles Johnson,Jimmy Flick,1.74627,1.28011,2.14,3.8,119,119,1672672925000,1673731351000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,30196,Erin Blanchfield,Jessica Andrade,2.65,2.0,1.52632,1.82645,254,254,1676160048000,1676773709000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29840,Jordan Wright,Zac Pauga,2.7,3.28,1.51282,1.35336,59,59,1675972937000,1676771550000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29781,Jamal Pogues,Josh Parisian,1.58824,1.36496,2.45,3.22,76,76,1675972937000,1676769510000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,30175,Marcin Prachnio,William Knight,1.90909,2.13,1.90909,1.73529,110,110,1675972937000,1676767590000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,30176,Alex Hernandez,Jim Miller,1.4,1.45249,3.1,2.8,100,100,1675973661000,1676765677000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29136,Evan Elder,Nazim Sadykhov,3.2,2.9,1.38462,1.42735,123,123,1675972937000,1676763630000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29676,Lina Lansberg,Mayra Bueno Silva,4.3,4.91,1.25,1.19011,88,88,1675972937000,1676761888000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,30137,Jamall Emmers,Khusein Askhabov,3.0,2.45,1.42553,1.58824,142,142,1675972937000,1676760214000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29677,Ovince St. Preux,Philipe Lins,2.1,2.78,1.76923,1.45872,68,68,1675972937000,1676758539000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29767,A.J. Fletcher,Themba Gorimbo,1.625,1.3012,2.4,3.63,98,98,1676037751000,1676756745000
ufc-fight-night-219-2700,UFC Fight Night 219 for February 18 | Best Fight Odds,2023-02-18,29156,Clayton Carpenter,Juancamilo Ronderos,1.28571,1.2907,3.85,3.7,85,85,1675972937000,1676755596000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,29915,Nikita Krylov,Ryan Spann,1.66667,1.56497,2.3,2.48,88,88,1676416217000,1677370024000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,29665,Andre Muniz,Brendan Allen,1.90909,1.4386,1.90909,2.86,129,129,1676416217000,1677376597000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,29675,Augusto Sakai,Don'tale Mayes,2.25,1.9009,1.68966,1.92593,149,149,1676416217000,1677374086000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,29794,Montana de La Rosa,Tatiana Suarez,6.0,6.63,1.14286,1.12376,42,42,1676416334000,1677372306000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,29782,Mike Malott,Yohan Lainesse,1.42553,1.44843,3.0,2.83,63,63,1676416334000,1677370650000
ufc-fight-night-220-2709,UFC Fight Night 220 for February 25 | Best Fight Odds,2023-02-25,30228,Erick Gonzalez,Trevor Peek,2.7,3.0,1.5,1.41152,99,99,1676465055000,1677368899000
